time,open,high,low,close,KAMA,Volume,Volume MA
2021-06-01T03:00:00+03:00,2706.15,2740,2523.74,2634.57,3265.350959007878,1179577.10806,1845622.371509002
2021-06-02T03:00:00+03:00,2634.31,2802.99,2550,2706.22,3244.641891820879,970070.53563,1790690.4895770024
2021-06-03T03:00:00+03:00,2706.21,2891.95,2662.4,2857.25,3234.4452362125353,1024290.89423,1784235.5129730024
2021-06-04T03:00:00+03:00,2857.25,2860,2552,2689.51,3206.198288428927,1188314.11191,1791692.4745275024
2021-06-05T03:00:00+03:00,2689.54,2816.87,2552.23,2627.73,3184.475731380446,961824.12413,1773580.3977965028
2021-06-06T03:00:00+03:00,2627.63,2745,2614,2711.92,3170.0941313212916,673792.69369,1712069.410482003
2021-06-07T03:00:00+03:00,2711.92,2847.55,2570,2592.05,3156.176726472649,1152128.07856,1705320.2723385028
2021-06-08T03:00:00+03:00,2592.05,2620.99,2304.91,2507.23,3135.4645901827885,1693747.42759,1574515.827748503
2021-06-09T03:00:00+03:00,2507.43,2626.63,2405.28,2610.18,3131.0141572064263,1276718.24011,1491212.8432490034
2021-06-10T03:00:00+03:00,2610.2,2624.46,2425.11,2471.09,3122.2979790157383,741237.49926,1391923.1214550035
2021-06-11T03:00:00+03:00,2471.01,2497.99,2321.37,2354.01,3117.5745328778157,587364.27358,1337075.4345555035
2021-06-12T03:00:00+03:00,2354.09,2454.53,2256.22,2370.74,3112.946457971803,767439.4984,1229719.9729130035
2021-06-13T03:00:00+03:00,2370.64,2548.41,2308.41,2509.33,3100.539077686864,715948.75986,1156185.7647835037
2021-06-14T03:00:00+03:00,2509.33,2609.17,2461,2580.77,3097.2333006643717,684183.55622,1084627.4673720035
2021-06-15T03:00:00+03:00,2580.58,2640,2507.7,2543.54,3091.564445783353,599826.64933,1035428.8202130037
2021-06-16T03:00:00+03:00,2543.55,2556.19,2351.18,2367.89,3067.57208172959,624741.78358,1011714.4137890037
2021-06-17T03:00:00+03:00,2368.02,2460.5,2306,2373.28,3051.3201532354774,560667.58566,962018.5623910038
2021-06-18T03:00:00+03:00,2373.28,2378,2139,2234.09,3041.3024277324157,778905.20197,931992.4630640037
2021-06-19T03:00:00+03:00,2234.09,2278.82,2161.67,2164.67,3033.3980794393483,496872.24997,899280.4156210037
2021-06-20T03:00:00+03:00,2165.34,2280.01,2040.68,2243.47,3025.0118241397254,743883.64741,871076.6959575036
2021-06-21T03:00:00+03:00,2243.49,2260.16,1865.54,1885.49,2933.937791131987,1629819.66576,893588.8238425037
2021-06-22T03:00:00+03:00,1885.27,1998,1700.48,1879.28,2856.3104371297277,1695338.08052,929852.2010870038
2021-06-23T03:00:00+03:00,1879.29,2045,1821.95,1968.14,2793.930142170405,918612.30494,924568.2716225038
2021-06-24T03:00:00+03:00,1967.95,2036.61,1884.79,1989.52,2714.1611887755002,701231.67478,900214.1497660037
2021-06-25T03:00:00+03:00,1989.53,2019.99,1791.22,1808.82,2623.142163864616,858808.54767,895063.3709430037
2021-06-26T03:00:00+03:00,1808.97,1852.8,1717.32,1829.64,2552.7026566919735,832315.14904,902989.4937105037
2021-06-27T03:00:00+03:00,1829.84,1984.5,1804.26,1982.28,2510.795840397158,696055.79307,880185.8794360037
2021-06-28T03:00:00+03:00,1982.27,2145,1960.52,2084.41,2492.0972602978954,1044244.68308,847710.7422105039
2021-06-29T03:00:00+03:00,2084.42,2245,2073.57,2165.33,2483.491811841898,831257.23277,825437.6918435039
2021-06-30T03:00:00+03:00,2165.46,2287.78,2087.99,2275.68,2478.18318343204,910583.6032,833904.9970405039
2021-07-01T03:00:00+03:00,2275.68,2275.93,2073.12,2106.41,2467.819146848972,787865.25137,843930.045930004
2021-07-02T03:00:00+03:00,2106.41,2160,2018.5,2154.13,2463.108677817548,672282.37476,839172.1897480038
2021-07-03T03:00:00+03:00,2153.95,2240,2112.01,2226.99,2460.4984763663315,569264.801,831837.991805004
2021-07-04T03:00:00+03:00,2226.99,2389.93,2189.58,2322.69,2458.5681527452048,590656.25069,827161.626528504
2021-07-05T03:00:00+03:00,2322.69,2324.64,2157.32,2196.53,2450.7680349813218,781806.31605,836260.609864504
